# this data file was made with 
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,-4.467259,12.703017
1,-4.467259,12.703017
2,-3.976853,12.387490
3,-3.502581,11.934173
4,-3.990061,11.724654
5,-4.173171,12.130745
6,-4.323047,12.298644
7,-4.654648,11.670858
8,-4.866715,12.838850
9,-4.707899,13.546731
10,-4.393673,14.034957
11,-4.312321,13.873614
12,-3.721286,13.539972
13,-3.965676,13.940493
14,-3.916628,14.662512
15,-4.058734,14.600125
16,-4.055867,14.981743
17,-4.454808,15.530697
18,-4.688673,15.434762
19,-4.202923,13.774992
20,-3.568278,12.963885
21,-3.509059,13.128624
22,-3.750839,14.013325
23,-3.646843,14.155885
24,-4.101398,14.141572
25,-3.863908,14.083677
26,-3.959531,13.629749
27,-4.561304,13.488009
28,-5.063720,13.362107
29,-5.127824,14.539181
30,-5.544093,14.918532
31,-5.591019,15.858236
32,-5.871516,15.488611
33,-5.571342,15.840285
34,-5.120536,15.524942
35,-4.961707,14.723388
36,-4.735679,13.423589
37,-4.888757,13.517446
38,-4.814603,11.821282
39,-5.057213,11.095593
40,-4.862927,11.002646
41,-4.955109,10.925434
42,-5.149006,10.665325
43,-5.213206,9.792241
44,-5.255100,9.955857
45,-5.116687,9.931152
46,-5.301062,10.509378
47,-5.021040,10.133109
48,-5.327408,10.136805
49,-5.275920,9.654406
50,-5.123838,9.314037
51,-5.152832,8.584578
52,-5.473841,8.840629
53,-5.591217,7.858046
54,-5.589347,7.606224
55,-5.481957,7.794303
56,-5.709833,8.323513
57,-5.809575,8.183142
58,-5.457748,6.720409
59,-5.494526,6.706418
60,-5.593143,6.399845
61,-5.532919,7.655005
62,-5.414395,8.119245
63,-5.283434,8.176534
64,-4.583914,8.000473
65,-4.688691,8.231362
66,-4.262895,8.325078
67,-3.915706,8.091980
68,-3.704180,8.215707
69,-4.275168,9.713352
70,-4.756503,10.791357
71,-4.807577,10.227060
72,-5.397767,10.114780
73,-5.234662,8.645237
74,-5.188688,7.944995
75,-5.304325,8.053229
76,-5.611086,7.288560
77,-6.225626,7.198285
78,-6.543467,7.839982
79,-6.904923,8.042276
80,-6.766549,9.518681
81,-6.754055,9.505156
82,-6.776379,9.307987
83,-6.826390,9.759147
84,-7.244761,10.269236
85,-7.705673,9.230246
86,-7.720823,8.669020
87,-7.807229,8.303378
88,-7.929663,8.506705
89,-7.680123,7.315118
90,-7.551353,6.826408
91,-7.500556,6.253703
92,-7.496891,5.629589
93,-7.721173,6.640110
94,-8.047623,7.298502
95,-8.046537,7.328641
96,-8.141263,8.045954
97,-8.098579,9.828865
98,-8.150951,10.012435
99,-7.759769,8.826498
100,-8.011780,8.658250
101,-7.739615,7.692853
102,-7.622917,7.507633
103,-7.859639,7.462173
104,-7.622907,7.003838
105,-7.739739,7.077781
106,-8.275703,5.977770
107,-8.095472,6.326406
108,-8.116939,6.561435
109,-7.744010,7.743834
110,-7.821106,8.237850
111,-8.323116,8.660128
112,-8.168251,9.248303
113,-7.892579,10.157391
114,-7.408435,10.557627
115,-7.192882,9.908908
116,-6.832385,9.432162
117,-6.686284,9.485432
118,-6.428411,9.341444
119,-7.075815,8.686601
120,-7.309545,9.156458
121,-7.545580,8.581997
122,-7.780286,9.453270
123,-7.890857,10.717090
124,-7.304412,10.337386
125,-7.441754,9.273489
126,-7.674537,7.807394
127,-7.650353,7.838169
128,-7.198006,8.025899
129,-6.950187,8.272198
130,-6.911228,7.044193
131,-7.054061,6.583106
132,-7.734306,6.615433
133,-8.361227,6.637640
134,-8.587950,6.836510
135,-8.676776,6.301521
136,-8.077749,5.971219
137,-8.044989,6.695450
138,-8.407058,6.458294
139,-8.287814,5.968391
140,-8.518759,6.738996
141,-8.592646,6.799758
142,-8.775342,6.994633
143,-8.626205,7.372025
144,-8.859788,7.327242
145,-8.828293,7.719436
146,-8.842393,7.993724
147,-8.586349,6.546655
148,-7.990249,5.642926
149,-7.556120,5.209285
150,-7.534524,4.362494
151,-7.615652,4.290839
152,-7.509242,3.929935
153,-7.093615,4.516345
154,-6.447146,3.154832
155,-6.123899,3.298910
156,-5.676238,3.266880
157,-5.866957,3.291480
158,-5.846580,3.120765
159,-5.761681,2.760695
160,-5.336396,2.628094
161,-4.855044,1.996320
162,-4.869421,2.142490
163,-5.172893,1.441453
164,-5.619968,1.637417
165,-5.985378,2.333359
166,-6.432281,2.526923
167,-6.901656,2.907735
168,-6.888154,2.539991
169,-7.214176,3.761465
170,-6.803639,4.238432
171,-7.062233,3.779038
172,-7.275451,3.661357
173,-7.076092,4.104809
174,-6.941287,4.153971
175,-7.300209,4.859143
176,-7.169240,4.598972
177,-7.686071,4.838333
178,-7.676133,5.328712
179,-7.756435,4.827659
180,-8.016432,4.528627
181,-8.091100,4.385068
182,-7.676279,4.753498
183,-7.670180,4.673356
184,-7.320987,4.564253
185,-7.252555,4.742184
186,-7.196299,4.586232
187,-7.021407,3.753277
188,-7.123059,3.720253
189,-7.101831,4.142356
190,-6.991735,3.842078
191,-7.081703,3.904308
192,-7.371703,4.248941
193,-7.464844,3.950189
194,-7.467221,3.981560
195,-7.333853,3.554992
196,-7.025982,3.805032
197,-7.184323,4.923771
198,-6.742228,5.501395
199,-5.998908,5.039303
200,-5.804110,4.057205
201,-5.876911,4.033231
202,-5.821550,4.141379
203,-5.948795,4.698496
204,-5.688400,5.935465
205,-5.988910,6.599229
206,-6.149633,7.276861
207,-6.502236,7.624106
208,-6.324122,7.763524
209,-6.952963,9.087549
210,-7.214281,9.027452
211,-7.529966,8.942150
212,-7.609526,9.011004
213,-7.780196,9.092717
214,-7.669275,9.345859
215,-7.939063,9.553817
216,-7.997968,10.762362
217,-8.140896,9.497765
218,-8.308765,8.927328
219,-8.295649,9.553408
220,-8.444607,10.400402
221,-8.350451,10.436712
222,-8.625902,10.790446
223,-8.767423,11.577514
224,-8.711458,12.713516
225,-9.344065,12.990470
226,-9.879821,12.029813
227,-10.092095,12.742191
228,-10.225226,12.727408
229,-10.316764,12.660090
230,-10.312570,13.742363
231,-10.398518,13.821318
232,-10.709046,13.639817
233,-11.004167,13.499821
234,-11.120885,14.219856
235,-10.914992,13.523919
236,-10.921732,13.646535
237,-11.394882,14.338036
238,-11.207780,14.506799
239,-10.608835,15.788568
240,-10.727311,16.359561
241,-10.670770,16.769847
242,-10.368552,16.264117
243,-10.730188,15.108240
244,-10.901931,14.782390
245,-11.395045,14.978066
246,-11.410766,15.265799
247,-11.128584,15.480423
248,-10.739147,14.809746
249,-10.620526,14.855762
250,-10.363409,15.502832
251,-9.967746,14.856682
252,-9.697147,14.952070
253,-9.545615,14.059364
254,-9.550476,14.269053
255,-9.488837,13.909405
256,-10.130431,14.301970
257,-9.786435,13.904140
258,-9.622138,13.491179
259,-9.612542,13.338575
260,-9.982154,13.590072
261,-10.075107,13.369186
262,-10.120239,13.032051
263,-10.241199,13.541964
264,-10.443266,13.215348
265,-10.755990,13.215145
266,-10.490029,13.160833
267,-10.248236,12.895140
268,-10.662073,13.122627
269,-10.778553,14.527927
270,-11.141324,14.928618
