# this data file was made with 
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,74.158586,0.860218
1,74.158586,0.860218
2,74.004717,0.843773
3,74.392934,0.559527
4,74.966754,0.569559
5,74.976375,0.676691
6,75.033240,0.607108
7,75.271459,0.398170
8,75.250939,0.872565
9,75.301662,1.211819
10,75.176498,1.871667
11,75.770519,2.038738
12,75.990828,1.275007
13,76.530690,1.040173
14,76.543913,1.012568
15,76.154802,0.964742
16,76.587601,1.034462
17,77.124292,1.338147
18,76.864048,1.444698
19,77.702356,2.117210
20,77.712380,2.298779
21,77.966849,2.789966
22,78.286204,2.306698
23,78.528574,2.155896
24,78.919100,2.959054
25,79.079566,3.160800
26,78.990509,3.954230
27,78.821731,4.636301
28,78.468228,4.715821
29,78.359918,4.805749
30,78.138214,4.558732
31,78.325656,4.827105
32,78.013253,5.026491
33,77.708595,5.403757
34,77.459630,4.842375
35,77.014602,5.304612
36,76.506033,4.992549
37,76.615585,5.163850
38,76.620100,4.964382
39,76.900409,5.113165
40,76.937191,5.176912
41,77.074081,5.190942
42,77.349454,4.866104
43,77.668347,4.838923
44,78.238370,4.713451
45,78.799658,4.804875
46,78.758484,4.239552
47,78.724126,3.799024
48,78.838636,3.630389
49,78.833607,3.509507
50,78.346764,3.238425
51,78.574900,2.922527
52,79.200004,3.235066
53,79.350576,3.201156
54,79.549750,3.116845
55,79.419546,3.344596
56,79.228874,3.314001
57,79.334450,3.854594
58,79.122289,3.724738
59,78.934736,4.302080
60,78.487812,4.101179
61,78.322364,4.387815
62,77.803264,4.222545
63,77.685230,4.527656
64,77.875857,4.973094
65,78.027386,4.584278
66,77.771761,5.545194
67,77.785430,4.758969
68,77.735315,5.021550
69,77.697292,4.658861
70,77.384714,5.289904
71,76.840213,5.988577
72,77.008448,5.965081
73,77.204049,5.667151
74,77.409915,5.823628
75,77.652064,6.013055
76,77.436436,5.842098
77,77.046404,5.548302
78,76.355696,5.358780
79,76.250535,6.315440
80,76.265407,5.694910
81,76.587639,5.486663
82,76.426506,6.126843
83,75.895660,6.007817
84,76.167283,6.058776
85,76.775367,6.393446
86,76.900987,6.131625
87,77.243023,6.056279
88,77.528006,6.219570
89,77.259065,5.502728
90,77.401705,4.928142
91,77.435754,4.638684
92,77.396192,4.752158
93,77.798544,5.123397
94,78.046132,5.387999
95,77.852970,5.797595
96,77.815546,6.265009
97,77.738267,6.662934
98,78.007634,6.606281
99,78.004769,6.735557
100,78.331438,7.455441
101,78.965111,7.449882
102,79.121849,6.974820
103,78.951968,7.121852
104,78.954761,6.784787
105,79.313583,6.606859
106,79.729106,6.770699
107,79.636500,7.221256
108,79.449824,7.385760
109,79.493171,7.077239
110,79.520246,7.434311
111,79.453381,7.529230
112,79.152040,7.731942
113,78.951728,7.678929
114,78.417832,7.977052
115,78.619027,7.375280
116,78.647290,7.533225
117,78.130586,7.301963
118,78.219500,7.458046
119,78.577077,7.333093
120,78.720274,7.273418
121,79.104690,6.956629
122,79.166361,6.725752
123,78.876272,6.891814
124,78.146101,6.880132
125,77.583449,7.488215
126,77.489163,7.879169
127,76.972381,7.633156
128,77.022798,7.303845
129,77.010748,7.237340
130,77.122389,7.760026
131,76.963877,7.198012
132,76.890109,7.192893
133,76.845920,7.188681
134,76.769746,6.570527
135,77.222903,6.529242
136,76.920970,6.832821
137,76.786811,5.775273
138,76.823346,5.627680
139,76.540796,5.874272
140,76.368042,6.589333
141,75.756939,7.208249
142,76.016389,7.529126
143,76.216680,7.736903
144,76.631052,7.493326
145,76.548281,7.319498
146,76.435163,7.051656
147,76.523155,7.112719
148,76.744968,7.220304
149,76.694167,6.615217
150,76.801123,6.960328
151,76.634269,6.947573
152,76.501515,6.793506
153,76.683703,5.837337
154,76.067648,5.767635
155,76.002944,5.740095
156,75.894607,5.455499
157,75.923902,5.477555
158,75.765112,5.700587
159,75.778370,5.676819
160,75.800535,5.276874
161,75.885998,5.763631
162,76.077682,6.324674
163,76.246268,6.414261
164,76.244906,7.079686
165,76.024991,6.942344
166,75.717759,7.339920
167,75.754733,8.009358
168,75.864800,8.233003
169,75.152108,8.357478
170,74.821724,8.300372
171,74.908241,8.070384
172,74.727906,7.585286
173,74.552293,7.413955
174,75.234052,7.403475
175,75.735833,7.413750
176,75.749142,7.299927
177,76.163856,7.242987
178,75.864336,7.186059
179,75.783967,7.588925
180,75.377675,7.749823
181,74.861762,7.385921
182,74.471064,7.096133
183,74.591771,6.925015
184,74.725836,7.284617
185,74.582486,7.716862
186,74.853274,8.262841
187,74.917561,8.661451
188,74.840538,9.120141
189,75.166955,8.919023
190,74.789752,9.071314
191,74.999011,9.290016
192,74.583860,8.751781
193,75.133350,8.516485
194,75.366713,8.463193
195,75.065618,8.910301
196,75.087320,8.551016
197,75.557060,8.426689
198,75.620394,8.290099
199,75.298560,8.421954
200,74.930945,8.176572
201,75.168560,8.392035
202,74.846182,8.145982
203,74.851158,7.809679
204,74.935312,8.258239
205,74.937609,8.206891
206,74.950394,7.801812
207,75.148193,8.388899
208,75.462976,8.864677
209,75.466274,9.195408
210,75.373826,8.695558
211,75.603318,8.801528
212,75.257694,8.649897
213,75.220519,8.275041
214,75.147326,8.080409
215,75.506681,8.367060
216,75.046063,8.007295
217,75.119045,7.927617
218,74.739004,7.944485
219,74.399626,7.823198
220,74.064287,7.947228
221,73.766520,7.828178
222,73.709549,8.183435
223,73.955865,7.943592
224,74.456292,7.834961
225,74.744378,7.959358
