# this data file was made with 
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,37.053442,14.569324
1,37.103079,14.535736
2,37.776558,14.000605
3,38.015175,14.372729
4,38.018891,14.673930
5,37.929444,15.165683
6,38.049365,15.297572
7,38.397707,15.318206
8,38.757986,15.298200
9,38.809082,14.844891
10,38.888051,14.598180
11,39.050121,14.581099
12,39.154666,13.895354
13,38.794099,13.930986
14,39.032366,13.245660
15,39.203399,13.541082
16,39.584583,13.834527
17,39.957910,14.070077
18,40.806898,13.793061
19,40.697245,13.674238
20,40.496030,12.966262
21,40.440694,12.743624
22,40.251021,12.936761
23,40.475791,13.036431
24,40.235088,13.100389
25,39.904522,13.583510
26,39.924850,13.654274
27,39.878718,12.887109
28,40.033040,12.648735
29,39.986842,12.828653
30,40.084570,12.585648
31,40.177557,11.846704
32,39.982157,11.542821
33,39.984181,11.130572
34,39.919530,11.514259
35,39.681794,11.532433
36,39.418476,11.767805
37,39.277440,11.771361
38,39.364871,11.224687
39,39.518225,11.526074
40,39.538544,11.628217
41,39.132391,11.233679
42,38.877531,10.864276
43,38.782241,11.185949
44,37.906365,11.359057
45,38.148258,10.944352
46,38.170377,10.850697
47,38.386378,10.651939
48,38.407884,10.749398
49,38.395368,11.212603
50,38.452842,10.914282
51,38.650511,11.146193
52,38.029683,11.690862
53,37.281958,11.381084
54,36.840706,11.578058
55,36.430056,11.664408
56,36.086202,11.992434
57,36.346871,12.129429
58,36.632173,11.838936
59,37.104293,12.093240
60,37.297383,12.054743
61,37.337315,11.818439
62,37.130625,11.600233
63,37.161440,11.178990
64,37.326441,10.780472
65,37.271841,10.905573
66,37.238258,10.982768
67,37.451503,10.496773
68,37.465110,11.021337
69,37.414410,11.421510
70,37.432182,11.734825
71,38.128741,11.254249
72,37.923355,10.692485
73,38.234369,10.276965
74,37.903612,10.348755
75,38.083635,10.520734
76,38.214532,11.190536
77,38.304356,11.261936
78,38.293388,11.342335
79,38.237984,11.034577
80,38.692267,11.190272
81,39.294423,11.485258
82,39.579572,11.400054
83,39.833050,10.833285
84,39.807993,11.249217
85,39.756553,11.559206
86,40.008437,11.316274
87,40.147051,11.449567
88,39.932721,11.589794
89,39.903650,11.686237
90,39.828095,11.207955
91,39.713477,11.254643
92,39.193929,11.536484
93,39.022119,11.787882
94,38.081212,11.214745
95,37.440649,11.108657
96,37.166784,11.010778
97,36.815575,10.674396
98,36.902122,10.616445
99,37.049358,10.754793
100,37.497907,10.636691
101,37.608985,10.441961
102,38.325532,10.148586
103,38.263945,9.933503
104,38.213666,10.796033
105,38.671477,10.694584
106,38.721123,10.974503
107,38.899766,10.254533
108,39.166709,9.861016
109,39.597335,9.828885
110,39.836870,10.058435
111,39.600433,10.368124
112,39.571004,9.937985
113,39.766750,9.816748
114,39.600827,9.695681
115,39.172095,9.555604
116,38.931100,9.817247
117,39.000748,10.126164
118,39.018483,9.847565
119,38.812017,10.142415
120,38.395595,10.104849
121,38.018942,9.643879
122,37.838329,9.427689
123,37.479334,8.857421
124,37.538734,8.633476
125,37.857978,8.769380
126,37.821440,9.092046
127,37.937818,9.549958
128,38.235440,10.149753
129,38.459343,10.226483
130,38.537508,10.175019
131,38.643793,10.076697
132,38.340530,9.697739
133,38.117602,10.255111
134,37.452516,10.219712
135,37.342972,10.168354
136,38.036016,10.403900
137,38.050168,10.763912
138,37.489324,10.871930
139,37.347457,10.617019
140,36.841445,10.609682
141,36.645419,10.556126
142,36.819454,10.711748
143,36.926822,10.521198
144,36.610541,10.174400
145,36.789109,9.665465
146,36.759969,10.101997
147,36.604540,10.043108
148,36.889224,10.050527
149,36.996247,10.090918
150,37.523531,10.156923
151,37.509375,9.985667
152,37.486950,9.520540
153,37.620571,9.396171
154,37.314239,9.758310
155,37.068031,9.914004
156,37.218740,9.733659
157,37.106745,9.889820
158,37.405528,9.480359
159,37.897996,9.681115
160,38.674143,10.070455
161,38.738066,9.991735
162,38.043371,9.842617
163,38.267284,10.185343
164,38.421771,10.120264
165,38.310335,9.504381
166,37.961315,9.735195
167,38.043658,10.190094
168,37.952810,10.187907
169,37.163213,10.515392
170,37.038728,10.374200
171,37.196189,10.459706
172,37.122048,10.819282
173,37.138614,10.619021
174,37.042506,10.692123
175,37.389031,11.038086
176,37.407464,11.333032
177,37.529672,11.274666
178,37.636980,11.133088
179,37.569926,11.103021
180,37.759720,10.673831
181,37.936948,10.040799
182,38.315359,10.040180
183,38.611520,10.310381
184,39.037940,10.643785
185,39.224318,10.527355
186,38.774757,10.617726
187,38.891849,10.536983
188,39.086258,10.524778
189,38.519300,10.444381
190,38.027576,10.549740
191,38.041252,10.658659
192,38.363578,10.348374
193,38.448640,10.592379
194,38.980881,11.035779
195,38.944836,11.430141
196,38.964398,11.357235
197,39.241780,11.342838
198,39.344864,11.010080
199,39.134385,11.032732
200,38.728857,10.768448
201,38.974482,10.212419
202,38.676238,10.782628
203,38.437150,10.686650
204,38.620733,11.036347
205,38.876302,11.346886
206,38.921049,11.342881
207,38.810326,11.066695
208,39.082159,11.033659
209,38.977282,11.467201
210,38.462879,11.713420
211,38.175042,12.155103
212,38.177713,11.798838
213,38.467137,11.404965
214,38.904305,11.533941
215,39.395509,11.429061
216,39.241702,11.198517
217,38.732954,11.188828
218,38.577859,11.764843
219,38.870272,11.855065
220,38.641117,11.909570
221,38.393567,11.983507
222,38.366773,11.875625
223,38.667893,11.960123
224,39.071801,12.511745
225,39.376708,12.192435
226,39.653779,11.711961
227,39.446160,11.237388
228,39.442473,11.091893
229,39.344141,10.963635
230,39.067639,11.142707
231,39.099348,11.218242
232,38.922811,11.022378
233,38.956890,11.190533
234,39.504981,11.331094
235,39.841144,11.416529
236,39.917957,11.716196
237,40.353369,11.898273
238,40.856213,11.679878
239,40.557832,11.634406
240,39.928829,12.078057
241,40.032006,11.944547
242,39.787174,11.661920
243,39.661779,11.851822
244,39.875331,11.741593
245,39.610620,11.514797
246,39.442249,12.083355
247,39.160378,12.219326
248,38.917514,12.512595
249,38.650085,12.293029
250,38.197918,12.087665
251,37.788673,11.825944
252,37.591835,11.889940
253,36.734684,11.888262
254,36.164196,11.577330
255,36.349199,11.689192
256,36.697396,11.751358
257,36.877189,12.000070
258,37.004508,11.757275
259,37.209258,12.008872
260,36.918141,12.233214
261,36.706136,12.064789
262,37.037907,12.327858
263,37.492973,12.379089
264,37.356511,11.800833
265,37.205422,11.675332
266,37.362443,11.613372
267,37.140633,11.687951
268,36.987675,11.757029
269,36.944729,12.036140
270,36.582982,11.979302
271,36.670509,11.511162
272,36.954261,11.246360
273,37.333903,11.392037
274,37.366299,11.463150
275,37.416560,11.493601
276,37.916758,11.867639
277,37.725341,12.200094
278,37.720194,11.876018
279,37.565695,11.847756
280,37.212072,11.024600
281,37.144420,10.434483
282,36.835243,10.316024
283,36.868068,9.490777
284,36.886994,9.098020
285,36.341614,8.914069
286,35.984470,9.072877
287,36.275642,8.774579
288,36.260624,8.609838
289,36.721428,8.831994
290,37.152260,8.855821
291,37.247532,8.967400
292,37.202160,9.213691
293,37.287362,9.968728
294,37.177776,10.040866
295,36.798911,9.769324
296,36.345491,9.813605
297,36.091170,10.016843
298,36.081053,10.357060
299,35.966483,10.106593
300,35.875914,9.897748
301,35.561511,10.165208
302,35.382390,9.834811
303,35.372395,9.511418
304,34.938742,9.821077
305,34.671119,9.674145
306,34.127827,9.684487
307,33.446275,10.447617
308,33.541895,10.808706
309,33.472547,10.994655
310,33.513304,11.205839
311,33.583918,10.627075
312,33.051050,11.151141
313,33.244695,11.229479
314,33.533400,10.683336
315,33.841619,10.157853
316,34.204333,9.756942
317,34.246578,9.943514
318,34.848200,9.760624
319,35.103492,9.451665
320,34.968085,9.309531
321,34.650982,9.515519
322,34.607866,9.701605
323,34.740803,9.834127
324,34.783617,9.530944
325,34.484624,9.681073
326,34.106977,10.310821
327,33.916861,10.112645
328,34.060843,10.574059
329,34.118370,10.966116
330,33.817867,10.878963
331,33.508467,11.175174
332,33.189170,11.490099
333,33.195559,11.685767
334,32.854478,11.851103
335,32.727795,11.998633
336,32.913803,11.449570
337,33.064666,11.497870
338,33.232105,11.608672
339,33.479274,11.053165
340,33.427212,11.578811
341,33.355938,11.424277
342,33.591320,11.177227
343,33.552066,11.528761
344,33.604555,11.573799
345,33.483269,12.007377
346,33.528164,12.337015
347,33.772180,12.794242
348,33.906564,12.464060
349,34.266587,11.902165
350,34.494066,11.593273
351,34.161187,11.392194
352,34.252313,11.702611
353,34.109965,11.611190
354,33.939220,11.581790
355,34.185199,11.543350
356,34.426676,11.829671
357,34.635299,11.529740
358,34.340798,12.087074
359,34.874239,12.266703
360,34.909576,11.614597
361,34.848881,12.071137
362,34.555873,12.559058
363,34.526352,12.617785
364,34.058346,12.500360
365,34.375022,12.292369
366,34.409229,11.869341
367,33.969046,12.120531
368,34.010434,12.423519
369,33.764652,12.632039
370,33.723086,12.818777
371,33.916993,13.349595
372,33.859670,13.331159
373,33.382061,13.207137
374,33.301794,13.174138
375,33.591928,12.836943
376,33.748616,12.546204
377,34.093375,12.947802
378,34.273800,12.890698
379,34.435671,12.688041
380,34.984411,12.824794
381,35.162357,12.656288
382,35.103167,12.405822
383,35.242323,12.457336
384,35.847223,12.187116
385,35.829944,12.106690
386,35.790655,12.039575
387,35.489847,11.809181
388,35.721083,11.581234
389,34.933905,11.732623
390,35.596268,12.407738
391,35.382444,12.466804
392,35.235273,12.878761
393,35.015451,12.895644
394,34.575799,13.274752
395,33.799446,13.003880
396,33.722707,13.101271
397,33.677568,12.323896
398,33.920485,11.955033
399,34.120236,11.820698
400,34.174410,11.790932
401,34.046877,12.098038
402,34.315929,12.013262
403,34.283462,12.435505
404,34.181797,12.634643
405,34.000420,12.883638
406,34.016483,12.968495
407,34.296151,13.262154
408,34.439065,13.780708
409,34.970549,13.883854
410,35.420432,13.632270
411,35.372277,14.231793
412,35.055227,13.916365
413,34.673478,13.848755
414,34.659365,13.636962
415,34.562060,13.606760
416,34.987650,13.229579
417,35.222268,13.325266
418,34.960656,13.332003
419,34.317470,13.122142
420,34.172847,12.681429
421,34.195132,12.905471
422,34.529848,12.664680
423,34.745224,12.797571
424,34.993712,12.839734
425,34.956634,13.109845
426,34.798367,13.240605
427,34.477044,12.902274
428,34.553500,12.792130
429,34.464111,12.855389
430,34.747319,13.068990
431,34.777221,13.009616
432,34.625805,13.048054
433,34.780311,12.670110
434,34.966479,12.191592
435,34.644454,12.051602
436,34.818301,12.286794
437,34.566476,12.499362
438,34.270919,12.427546
439,33.923755,12.447373
440,33.879262,12.193239
441,34.465097,11.156996
442,34.192131,10.997828
443,34.541821,11.142994
444,34.892234,11.210343
445,34.925810,11.014105
446,34.968393,11.088240
447,34.443248,11.232576
448,34.871032,11.005965
449,34.275776,10.727990
450,34.323003,10.030046
451,34.576864,10.665112
452,34.569666,10.569659
453,34.274304,10.481166
454,34.463366,10.260049
455,34.254116,10.246430
456,34.223672,10.367308
457,34.365832,10.121397
458,34.458334,10.215368
459,34.864324,10.335388
460,35.038518,10.304092
461,34.639513,10.522783
462,34.734374,10.163083
463,34.790149,10.045603
464,34.695954,9.843520
465,35.023967,9.687522
466,34.609009,9.687914
467,34.673326,10.025117
468,34.152858,9.976154
469,33.538492,10.365514
470,33.436886,10.166848
471,33.042650,9.713594
472,32.854679,9.661706
473,32.671663,9.180344
474,32.622253,9.344113
475,32.728895,9.627725
476,32.987564,9.491331
477,32.825614,9.956915
478,33.135890,9.989456
479,33.523332,9.647840
480,33.384882,9.404409
481,33.035381,9.652340
482,33.006737,9.559211
483,32.750906,9.730360
484,32.472298,9.932143
485,32.027751,10.555066
486,32.222182,10.818505
487,32.113126,10.926896
488,32.230053,10.983400
489,32.022331,11.101224
490,31.616328,12.071983
491,31.577366,12.362356
492,31.724898,11.795076
493,31.707182,11.645945
494,31.608152,11.439031
495,31.955798,10.943952
496,31.978546,11.326588
497,32.035904,11.393320
498,32.305056,11.738595
499,31.795363,12.200670
500,31.907013,11.962043
501,32.137049,11.697350
502,32.194040,11.427107
503,32.395134,11.005472
504,32.324572,10.696229
505,32.155481,10.698913
506,31.658303,10.927316
507,31.607774,11.057936
508,31.426101,11.489046
509,31.871623,11.037368
510,31.723838,11.063192
511,31.558872,11.317078
512,31.839911,11.077689
513,32.344300,11.230924
