# this data file was made with 
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,37.072165,14.633959
1,37.087829,14.283158
2,37.941586,14.285037
3,38.953426,14.366136
4,39.264043,14.587423
5,39.606358,15.110853
6,40.201172,15.534848
7,40.326770,16.176169
8,40.238791,16.725307
9,40.802525,16.007934
10,41.120636,16.043715
11,41.723640,15.960567
12,41.665537,15.905418
13,41.584790,15.621222
14,41.367256,15.781107
15,41.680213,16.405361
16,42.200198,16.299402
17,42.102813,16.441450
18,42.470172,16.062728
19,42.981163,16.232703
20,43.590294,16.086357
21,43.788536,16.149561
22,43.985146,16.304194
23,43.815258,16.054560
24,43.837328,15.994004
25,43.122410,16.014381
26,42.891713,16.595761
27,42.672493,16.742198
28,42.518816,16.520891
29,42.761336,15.748210
30,42.883142,16.294555
31,42.710166,16.173348
32,42.371205,16.103161
33,42.492004,16.028819
34,42.306195,16.091836
35,42.438779,16.284523
36,42.927141,15.897366
37,42.582952,16.057597
38,42.690789,16.689917
39,42.333245,16.680241
40,42.415056,15.839044
41,42.455638,15.475578
42,42.325337,15.027009
43,42.337453,15.322840
44,42.091205,15.953890
45,41.724098,16.086686
46,41.442690,15.370113
47,41.431039,14.816896
48,41.032049,14.442484
49,41.150864,14.164401
50,41.585602,13.875227
51,42.290476,13.554898
52,42.238174,13.635109
53,42.365153,13.892893
54,42.912572,14.502754
55,42.999344,14.910219
56,43.365707,15.074422
57,43.718553,14.537916
58,44.088870,13.692437
59,44.183649,13.150322
60,44.096296,12.915005
61,44.194044,12.547216
62,43.894151,12.755034
63,43.947624,12.906813
64,44.144785,12.909200
65,44.132058,12.743681
66,43.758045,13.219799
67,43.385126,13.121978
68,43.335955,13.274288
69,43.447889,13.693807
70,43.010436,13.792023
71,42.817677,13.512471
72,43.247050,12.929788
73,43.430583,12.916462
74,42.985876,12.998780
75,42.399592,13.207103
76,42.225229,13.237213
77,42.491275,13.432545
78,42.538118,13.014457
79,42.568711,12.923376
80,42.038593,12.400499
81,41.855955,12.685051
82,41.859160,12.424100
83,41.998314,12.824031
84,42.064678,12.748242
85,41.946786,12.396264
86,41.981262,12.153252
87,41.928840,11.987038
88,42.044306,11.961771
89,42.424896,11.872304
90,42.935282,12.067404
91,43.079312,11.782889
92,43.374163,11.510919
93,43.254987,11.862442
94,43.467530,11.636925
95,44.075666,11.839380
96,44.089510,11.316397
97,44.194849,11.233639
98,44.096386,11.502219
99,44.096934,11.393446
100,44.149970,10.912523
101,44.055060,11.180349
102,43.232433,11.987757
103,43.252264,12.045207
104,43.663066,12.128269
105,43.581990,11.892710
106,43.364781,11.270074
107,43.358413,11.023640
108,43.608246,10.844110
109,43.499221,11.131581
110,43.740936,10.971987
111,43.659358,11.061843
112,43.855443,11.042365
113,43.722678,11.361984
114,43.609553,11.377818
115,43.694513,10.655868
116,43.519955,10.609316
117,43.400248,10.437388
118,43.737843,10.356416
119,43.596861,10.208726
120,44.100804,10.157037
121,44.820978,9.938268
122,45.184279,9.596452
123,45.164226,9.830443
124,45.072188,10.237893
125,44.832724,10.571385
126,44.626811,10.273652
127,44.531311,10.172862
128,44.278440,10.665976
129,44.193495,10.979180
130,44.735915,10.961472
131,44.497331,10.753474
132,44.588647,10.353650
133,44.751547,10.743668
134,45.341328,10.364935
135,46.009923,9.848833
136,46.617459,9.202364
137,46.546264,9.182746
138,46.588191,8.970899
139,46.661370,9.055807
140,47.019271,8.677766
141,47.419676,8.909597
142,47.898053,9.416044
143,47.651412,9.670519
144,46.743496,9.890905
145,46.653970,9.517628
146,46.878497,9.688335
147,47.475111,9.413787
148,47.298090,9.279856
149,47.841013,8.928611
150,48.633839,8.729588
151,49.069873,8.341899
152,49.273421,8.346740
153,48.837900,8.255964
154,48.762956,8.500924
155,48.974122,8.105817
156,48.474009,8.116996
157,47.961344,8.103911
158,47.519031,8.465949
159,46.898088,8.661605
160,46.781111,8.557087
161,46.898684,8.725143
162,47.063620,8.547785
163,47.592236,9.003029
164,48.167245,9.376079
165,48.180253,9.047311
166,48.690421,8.768108
167,49.067933,8.561782
168,49.323563,7.683486
169,49.282772,7.632546
170,49.336060,7.664997
171,49.706577,6.920690
172,49.295289,6.905474
173,49.150880,7.229863
174,49.383455,7.326579
175,49.755559,7.150945
176,50.002103,7.431033
177,49.441772,7.208863
178,49.669248,7.597596
179,49.604547,7.911181
180,49.752781,8.199129
181,49.798007,8.253504
182,49.629010,8.565930
183,49.432686,8.882721
184,49.160129,8.637155
185,48.793124,8.633872
186,49.015975,8.547827
187,48.433740,8.594382
188,47.661517,8.578046
189,47.473091,9.067636
190,47.216693,9.138717
191,47.098051,9.154297
192,47.717069,9.100438
193,47.681829,9.005682
194,47.273739,9.360036
195,46.562327,9.894501
196,46.840506,9.485881
197,47.521843,9.219631
198,47.911561,8.449130
199,47.782779,8.551715
200,47.821425,8.488265
201,47.584677,8.184889
202,47.409324,7.828565
203,47.786693,8.410111
204,47.575902,8.507546
205,47.558906,8.383782
206,47.765492,8.390551
207,48.027062,8.353146
208,47.625904,8.385168
209,47.888012,8.338467
210,47.750330,8.662549
211,48.017288,8.765368
212,48.453354,8.172317
213,48.583221,7.843707
214,48.881188,7.252376
215,48.579861,7.329899
216,48.149820,7.183983
217,48.285442,7.260235
218,48.509934,7.054611
219,48.294779,7.030179
220,48.444770,6.693218
221,48.700820,6.889923
222,48.242664,7.480060
223,47.528146,8.168663
224,47.518842,8.300073
225,47.529331,8.105244
226,47.046321,8.312405
227,47.467302,8.683001
228,47.293316,8.760169
229,47.567401,8.617902
230,48.128135,7.916693
231,48.425814,7.868191
232,48.362850,7.736331
233,49.038702,7.766950
234,49.365986,8.017576
235,50.094426,8.548390
236,50.860051,8.864827
237,51.243573,8.967673
238,51.840456,9.138206
239,51.799441,9.043543
240,51.857838,9.448700
241,52.268826,9.360206
242,52.574495,9.240813
243,52.326705,8.554801
244,52.636552,8.245541
245,52.442192,8.076523
246,51.757534,8.659191
247,51.151017,8.830153
248,51.365139,8.657756
249,51.157189,8.397600
250,50.406070,8.515757
