# this data file was made with 
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,37.027344,14.471318
1,37.170474,15.020534
2,37.806130,15.106094
3,38.582987,14.762668
4,39.299515,14.842999
5,39.401343,14.611416
6,40.347345,14.502149
7,40.655483,14.942179
8,40.708859,15.088363
9,41.863526,14.822276
10,42.208690,15.091909
11,42.028648,15.502754
12,42.386506,15.189555
13,42.791209,15.569000
14,42.864325,15.361050
15,42.663675,15.256919
16,42.476820,14.920703
17,42.539606,14.710744
18,43.051327,14.956865
19,43.379717,15.071635
20,43.739003,14.922094
21,44.076665,15.126053
22,43.809284,15.158250
23,43.974717,15.064412
24,43.973691,14.813834
25,43.733363,15.113615
26,43.768533,14.879511
27,43.823006,15.485933
28,43.954345,15.374680
29,44.075297,15.560957
30,44.042575,15.094262
31,44.203587,14.819210
32,44.460973,14.865299
33,44.330048,14.692272
34,44.396756,14.343571
35,44.175920,14.680973
36,44.250452,15.037409
37,43.993906,14.592932
38,43.936077,14.486412
39,44.078767,14.299596
40,43.588269,14.117142
41,43.279266,13.483445
42,43.533384,13.205118
43,43.969711,13.266488
44,44.240953,12.699402
45,44.575091,12.515338
46,44.479648,12.548519
47,45.016637,13.436138
48,44.864971,13.811228
49,44.443597,13.989607
50,44.163965,14.582519
51,43.505361,14.624184
52,43.196473,14.039815
53,43.195682,13.686481
54,43.043846,13.766978
55,43.207902,14.054974
56,43.390478,14.407843
57,43.641482,14.208017
58,43.651677,13.884229
59,43.382463,13.785426
60,42.994629,14.395638
61,42.547949,14.499084
62,42.469826,14.418509
63,42.701855,14.522655
64,43.097946,14.536103
65,42.972912,14.755593
66,42.557618,14.398704
67,42.717559,14.369632
68,43.104580,14.313940
69,43.216529,14.386944
70,43.328153,14.523784
71,43.733122,14.117790
72,43.671506,14.171480
73,43.693489,14.094522
74,43.456564,14.040444
75,43.277916,14.009178
76,43.299860,13.777071
77,43.418760,13.537485
78,44.010248,13.452026
79,44.228022,13.178147
80,44.259621,13.649996
81,44.193414,14.253496
82,44.105010,14.960042
83,43.826762,15.612768
84,43.626134,15.807998
85,43.309937,15.279002
86,43.094547,15.648715
87,42.630743,15.438719
88,42.512035,15.438361
89,41.949190,15.632364
90,41.952420,15.533320
91,41.911805,15.191976
92,41.643851,15.121577
93,42.147146,14.938283
94,42.358658,14.656126
95,42.688861,14.695380
96,42.449432,14.799107
97,42.134623,14.716075
98,41.761633,14.909934
99,42.015457,14.957617
100,42.041345,15.302780
101,42.116285,14.961612
102,42.295018,14.444455
103,42.399020,14.188082
104,42.065853,14.150101
105,42.134198,14.398892
106,42.001874,14.286284
107,41.909204,14.201538
108,42.367314,13.792392
109,42.497072,14.141056
110,42.373732,14.025832
111,42.599968,13.929427
112,42.489664,14.098660
113,42.741077,13.802181
114,43.060958,13.691025
115,43.019203,14.220591
116,42.877378,14.579911
117,42.554270,14.612063
118,42.338677,14.481263
119,42.114801,14.522598
120,41.917680,14.540606
121,42.124305,14.535112
122,41.650448,14.612907
123,41.921241,14.337658
124,42.077788,14.358433
125,41.816707,14.627515
126,41.731342,14.676922
127,41.595991,14.558624
128,41.458714,14.796991
129,41.881384,15.033954
130,41.544060,14.828683
131,40.813630,14.848482
132,40.458965,14.482735
133,40.292318,14.309924
134,40.938908,14.364971
135,41.204471,14.185409
136,41.335792,14.498985
137,41.189718,14.619995
138,40.965912,14.676601
139,41.246075,14.596238
140,41.098300,14.430258
141,40.897884,14.158683
142,40.752373,14.369245
143,40.823647,13.862051
144,40.562328,13.982171
145,40.217237,14.181085
146,40.456225,13.894843
147,40.210901,13.659142
148,40.008786,13.565137
149,39.969056,13.303799
150,39.926902,12.918237
