# this data file was made with 
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,37.087148,14.505348
1,37.179088,14.740853
2,37.508277,14.869087
3,37.809243,14.600721
4,38.652633,14.944556
5,39.154885,14.627626
6,39.282049,14.514651
7,39.614619,14.627918
8,39.805428,14.632482
9,40.091092,14.295478
10,40.235987,14.047625
11,40.515571,14.131298
12,40.719300,13.590338
13,40.828057,14.250361
14,40.960593,14.657872
15,41.090283,14.340208
16,40.836544,14.565657
17,41.201378,14.596105
18,41.164849,14.195523
19,41.664584,14.059805
20,41.797015,14.211056
21,41.681917,14.386423
22,41.761870,14.311997
23,42.179722,13.975873
24,41.841557,13.945188
25,41.344858,14.033504
26,41.721640,13.073631
27,41.745229,13.216959
28,41.933141,13.290448
29,42.204493,13.479402
30,42.186281,13.049752
31,41.642143,12.666291
32,42.030013,12.414268
33,42.253817,12.334849
34,41.839106,12.553482
35,41.995211,12.256789
36,42.368662,11.458517
37,42.524273,11.468531
38,42.509646,11.220412
39,42.247248,11.274002
40,42.114033,11.275028
41,41.845377,10.488961
42,41.570004,10.191115
43,41.265260,9.582817
44,41.134931,9.444645
45,41.578637,9.712499
46,41.953045,9.443531
47,41.813626,8.949709
48,42.030608,8.569654
49,42.061441,8.323998
50,41.765451,7.914500
51,42.026429,7.742776
52,42.327148,8.242664
53,42.427754,7.780414
54,42.550163,8.014261
55,42.758426,8.099104
56,42.578857,8.483794
57,43.011478,8.348900
58,43.062503,8.102097
59,42.683794,8.358591
60,42.669052,8.491417
61,42.711413,8.519473
62,43.181408,8.300285
63,43.147786,8.496319
64,42.859656,8.321763
65,43.078445,8.303251
66,42.858524,8.487094
67,42.957602,8.411921
68,42.896050,7.868093
69,43.182602,7.972269
70,42.913366,7.977355
71,42.775928,7.896725
72,42.104434,8.075709
73,42.139126,7.945504
74,42.192913,7.266036
75,41.782467,7.403196
76,41.970579,7.328721
77,41.605788,7.626746
78,42.435166,8.114222
79,42.757004,7.742068
80,42.725419,7.708531
81,42.527147,7.582258
82,42.347366,7.631919
83,42.627953,7.569913
84,42.624836,7.640898
85,42.581551,7.615549
86,42.410229,7.369044
87,41.887735,7.578631
88,41.659127,7.449520
89,41.243867,7.531279
90,41.506276,7.616030
91,41.856145,8.025983
92,41.636826,7.433988
93,41.503984,7.989923
94,41.355948,8.320456
95,41.281717,8.653571
96,41.626099,8.249063
97,42.126314,8.695714
98,42.565269,8.096535
99,43.213698,7.844188
100,43.840994,7.933241
101,44.256501,8.572811
102,44.474264,8.307978
103,44.500904,8.317374
104,44.235697,8.365374
105,44.089589,8.576259
106,44.519543,8.312958
107,44.739730,7.921987
108,44.770890,8.648491
109,45.299165,8.674182
110,45.221474,8.361716
111,44.980478,8.390330
112,45.000807,8.035523
113,44.761990,7.377437
114,44.625374,7.352999
