# this data file was made with generate_cvs.tcl
# Chains E,F,G,H are on residues 50-69 of chains A through D (present only in the C8 cage models!)
# Chains I,J,K,L are on residues 10-29 of chains A through D (present in both C4 and C8 cage models)
# this script generates CV's for the shotgun simulation restarts
# [frame, distance along z cordinate of protein (0 is center), distance protein is away from the center of the top of the cage in the plane]
0,57.704595,8.998587
1,57.665107,8.958323
2,57.978506,8.470110
3,58.031953,8.119215
4,57.728244,7.841794
5,57.653795,7.846907
6,57.699200,7.429266
7,57.597881,7.494649
8,57.455660,7.697367
9,56.811549,7.779453
10,56.751831,7.928182
11,56.657241,7.819501
12,56.264562,7.980230
13,56.238324,8.103367
14,55.571566,8.179699
15,54.880651,8.213562
16,54.508439,7.982956
17,53.878868,8.381024
18,54.032012,8.698645
19,54.113006,9.436795
20,53.655093,9.830106
21,53.093097,10.067066
22,52.639149,10.515020
23,52.559852,10.615053
24,52.196589,10.633077
25,52.288467,10.238857
26,51.926211,10.376630
27,51.779629,10.508042
28,51.616156,10.639599
29,51.490716,11.059486
30,51.807466,11.135231
31,51.676983,11.087333
32,51.677358,10.930254
33,52.373361,10.908658
34,52.449526,10.642248
35,52.067458,10.616113
36,52.327970,9.943007
37,52.647870,9.849855
38,52.637810,9.651571
39,52.637467,10.162820
40,53.018603,10.019754
41,53.200452,10.408882
42,53.374219,10.808319
43,53.764060,10.895127
44,53.734334,10.634377
45,53.719381,10.527989
46,53.857162,10.270848
47,53.569534,10.299477
48,53.424716,9.677442
49,52.887435,9.730961
50,52.800427,9.381026
51,52.516088,9.204287
52,52.769070,9.041557
53,52.563037,9.147396
54,52.415319,9.325174
55,52.905639,9.431184
56,53.081390,9.465508
57,52.650327,9.318080
58,52.915022,9.367712
59,52.883539,9.181187
60,52.646613,9.243464
61,53.179829,9.353005
62,53.122084,9.600253
63,52.994815,9.174582
64,53.118759,9.217152
65,52.847435,9.726027
66,52.756562,9.120042
67,52.719722,9.290158
68,52.749200,9.123481
69,52.620381,8.884904
70,52.245754,8.776599
71,51.934686,8.580217
72,52.094677,9.328614
73,52.225548,9.325092
74,52.248788,9.601462
75,52.372870,9.330176
76,52.678338,8.880229
77,53.093849,8.346055
78,53.476295,8.360922
79,53.927044,8.273295
80,54.541013,8.620928
81,54.738161,8.486720
82,55.023584,7.812254
83,55.320778,8.411830
84,55.481722,8.086898
85,55.329443,7.635551
86,55.393576,7.671098
87,56.192152,7.906296
88,56.455138,7.760783
89,56.109012,7.644708
90,55.911498,7.436874
91,55.789566,7.496653
92,55.772429,7.123030
93,55.744921,6.882951
94,55.589010,6.975224
95,55.645901,7.033769
96,55.625532,7.249211
97,55.832611,7.913010
98,55.705642,8.025507
99,55.592810,8.540720
100,56.208074,8.960362
101,56.405105,8.895156
102,56.402427,9.716414
103,56.308069,9.889379
104,55.852249,9.862521
105,55.933154,9.266220
106,55.922670,9.566098
107,56.037731,9.399043
108,56.060241,9.629877
109,55.879602,9.686046
110,55.685688,10.289304
111,55.956898,10.480774
112,55.430435,10.674087
113,55.149840,10.658671
114,55.256230,10.345712
115,55.487300,10.275583
116,55.840579,10.107949
117,55.957004,10.557083
118,56.113408,10.606725
119,56.418523,11.010078
120,56.231585,11.192735
121,56.225485,10.993667
122,56.559563,11.073925
123,56.916014,11.212428
124,56.872213,11.287839
125,57.111157,11.656290
126,57.559496,11.614295
127,57.592965,11.778832
128,57.869159,11.670493
129,57.734072,11.845410
130,57.773337,11.857762
131,57.936723,11.520632
132,58.138809,11.056486
133,57.792960,10.998569
134,57.555008,10.504635
135,57.451494,10.311393
136,57.615190,9.852177
137,57.402794,9.478500
138,57.054670,9.552729
139,56.877644,9.793222
140,56.820478,9.424975
141,56.840818,9.300815
142,56.280860,9.021748
143,56.369947,9.378368
144,56.534709,9.310012
145,56.850780,9.423630
146,56.818499,9.537857
147,57.166198,9.192463
148,57.032490,9.057571
149,56.800531,9.499403
150,56.910843,9.435994
151,57.192848,9.220558
152,57.151609,9.377957
153,57.240488,9.388271
154,57.485137,9.259069
155,57.194514,8.754621
156,56.886162,8.451502
157,57.088574,8.705866
158,57.501287,8.687234
159,57.405894,8.621475
160,57.413873,8.693818
161,57.204233,8.655901
162,57.262240,8.788795
163,57.144576,9.071707
164,57.740954,9.791199
165,57.634295,10.748002
166,57.428953,11.123778
167,57.420267,11.164401
168,57.870837,11.376881
169,57.909810,11.301828
170,58.200012,11.417570
171,58.179730,11.404399
172,58.479974,11.045099
173,58.400051,11.230181
174,58.324656,10.853085
175,58.165546,10.666123
176,58.027948,10.444462
177,58.206401,10.581379
178,58.419064,10.211774
179,58.427431,11.042887
180,58.546774,11.202878
181,58.863284,11.206921
182,58.670514,11.273267
183,58.536209,11.285475
184,58.648642,10.934864
185,58.432666,10.309674
186,58.617422,9.929217
187,58.990514,9.504725
188,58.871227,9.335514
189,58.939241,8.876748
190,58.752135,9.225718
191,58.368613,8.783836
192,57.907205,9.330798
193,57.452385,9.465059
194,57.403509,9.225734
195,57.149252,9.608303
196,56.679378,9.766430
197,56.622990,9.604816
198,56.040018,9.116697
199,55.950261,8.673990
200,55.331102,8.644152
201,55.082691,8.751643
202,55.160090,8.886416
203,55.113708,9.119289
204,54.581726,9.144067
205,55.056179,9.343428
206,55.497257,8.909338
207,55.104818,9.204030
208,54.901278,9.067217
209,54.788494,8.460229
210,55.150529,8.917688
211,55.138242,8.653039
212,55.681739,7.896321
213,55.884953,8.145250
214,56.290214,8.521422
215,56.298923,8.843614
216,56.391273,8.242093
217,56.600110,8.143353
218,57.016135,8.722438
219,57.069213,8.643604
220,57.313660,8.830449
221,57.989010,8.957905
222,58.249194,8.751731
223,58.967250,8.881178
224,58.858493,8.765299
225,59.087477,8.891880
226,58.665189,8.370488
227,58.519056,7.970060
228,58.778272,7.914735
229,58.510899,8.213387
230,58.354486,8.230567
231,58.006290,8.888581
232,57.411472,9.059145
233,57.784643,9.639178
234,57.584970,9.755768
235,57.159618,10.044793
236,57.335625,10.248580
237,56.853771,10.642533
238,56.972959,10.604122
239,56.980123,10.232153
240,57.081780,10.378627
241,57.038477,9.736052
242,56.905631,9.429322
243,56.694892,9.239039
244,57.092679,9.157290
245,56.815487,9.350387
246,56.612664,9.581080
247,56.481251,9.513388
248,56.518146,10.107450
249,56.774264,10.536092
250,56.947379,10.064069
251,56.891522,10.283501
252,57.157292,9.922123
253,57.316643,9.996345
254,57.264869,9.890690
255,57.182215,10.018037
256,57.294419,10.213294
257,57.015693,9.770324
258,56.544735,9.282524
259,56.257953,9.677408
260,56.404981,9.446948
261,55.849898,9.721165
262,55.966731,9.794731
263,56.096861,9.746419
264,56.048137,9.793505
265,55.908280,9.772576
266,55.884778,9.993450
267,55.935096,10.880244
268,56.188875,11.355889
269,56.134598,11.783870
270,55.440834,11.705660
271,54.734970,11.031257
272,54.432673,10.773745
273,53.727965,10.998733
274,53.674887,10.477825
275,53.446141,9.793140
276,53.472411,9.937861
277,53.577013,10.041187
278,53.604729,10.111354
279,53.873425,9.722470
280,53.946760,9.416129
281,54.038107,10.312606
282,53.974517,10.511423
283,53.796239,10.472643
284,53.592562,10.832723
285,53.223401,10.546769
286,53.134856,10.291476
287,53.259698,9.987134
288,52.959342,10.251794
289,53.112862,10.652463
290,53.000511,10.274927
291,53.229012,10.218401
292,52.949059,10.281851
293,52.976858,10.221990
294,52.977004,9.746483
295,52.992523,9.676984
296,52.984476,9.810044
297,52.588668,9.850513
298,52.545281,9.375733
299,52.085999,8.780302
300,51.951700,8.830363
301,51.431259,8.990608
302,51.166903,8.976242
303,51.296051,8.564334
304,51.735142,8.833110
305,51.882246,8.775787
306,52.170545,8.685546
307,51.957900,8.718327
308,52.313317,8.433252
309,52.161030,8.270048
310,51.973143,8.749341
311,51.793990,8.816388
312,51.461150,8.869551
313,51.406501,8.764016
314,51.482565,8.581609
315,51.657290,8.143252
316,50.773546,8.269744
317,50.988794,8.330563
318,51.291434,8.536835
319,51.182955,8.230264
320,51.204800,8.566518
321,51.468984,8.553784
322,51.348630,8.716013
323,51.120758,8.800832
324,51.032342,8.954024
